Fecha                  CODIGO              Valor
24-03-19                1105              10000000
24-03-19                2105              1000000
24-03-19                2110              1000000
24-03-19                1435              4000000
24-03-19                2205              2000000
24-03-19                2210              2000000
24-03-19                2355              7000000
24-03-19                2380              1000000
24-03-19                2365              1000000
24-03-19                1710              1000000
24-03-19                2404              2000000
24-03-19                2424              2000000
24-03-19                6130              4000000
24-03-19                6145              1000000
24-03-19                2436              1000000
