FECHA      CODIGO      VALOR 
26-03-19   1105       1000000
26-03-19   2105      -500000
26-03-19   2464       1000000
26-03-19   6150       1000000
26-03-19   2510       200000
26-03-19   2505       2000000
26-03-19   2520       200000
26-03-19   2530       200000
26-03-19   2540       200000
26-03-19   2620       200000
26-03-19   6170       3000000
26-03-19   3120       4000000
26-03-19   1504       4000000
26-03-19   1516       2000000
26-03-19   3135       2000000
26-03-19   3140       2000000
26-03-19   1528       2000000
26-03-19   1524       1000000
26-03-19   3140       1000000
26-03-19   3210       5000000
26-03-19   1540       3000000
26-03-19   1599       2000000
26-03-19   3405       1000000
26-03-19   3605       1000000
26-03-19   3610       -500000
26-03-19   19         4000000
26-03-19   3810       4000000
26-03-19   3115       6000000
26-03-19   1635       2000000
26-03-19   1615       1000000
26-03-19   1435       1000000
26-03-19   1430       1000000
26-03-19   1110       1000000
